Nombre;Direccion;Provincia;CAN_DESCRIPCION;Parroquia;Nivel;TUN_DESCRIPCION;Institucion;x;y;servicios;planes_aceptados;costo_consulta
HUERFANITOS;19VA. 1608 Y CALLE H - CALLE I;GUAYAS;GUAYAQUIL;FEBRES CORDERO;NIVEL 1;CENTRO DE SALUD B;MSP;-79,92683635;-2,222756822;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);40
SANTIAGO DE GUAYAQUIL;M S/N Y CALLE 43VA. CALLE 44VA.;GUAYAS;GUAYAQUIL;FEBRES CORDERO;NIVEL 1;CENTRO DE SALUD B;MSP;-79,94500142;-2,219989608;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);43
28 DE FEBRERO;23 AVA SOLAR 6 Y 2DO CALLEJON P;GUAYAS;GUAYAQUIL;FEBRES CORDERO;NIVEL 1;CENTRO DE SALUD B;MSP;-79,9390877;-2,229348389;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);45
HEROES DEL 41;19 AVA SOLAR 1 Y Q;GUAYAS;GUAYAQUIL;FEBRES CORDERO;NIVEL 1;CENTRO DE SALUD B;MSP;-79,93938175;-2,232464463;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);44
LA LAGUNA;LA 29AVA SOLAR 15 Y Y LA Q;GUAYAS;GUAYAQUIL;FEBRES CORDERO;NIVEL 1;CENTRO DE SALUD A;MSP;-79,9436619;-2,228015246;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);32
CENTRO DE SALUD N. 15;COOP. SAN PEDRO SOLAR 1 MZ 85 DETRÁS DE UNIVERSIDAD CATOLICA;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;MSP;-79,90459053;-2,185825628;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);26
CENTRO DE SALUD ATARAZANA;JOSE MASCOTE 0100 Y JULIAN CORONEL;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;MSP;-79,89012359;-2,181367028;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);32
CENTRO DE SALUD SAUCES III;SN SOL 11 Y SN;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD B;MSP;-79,88939496;-2,128827397;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);43
LOS VERGELES;TERCER PASAJE 2NE SOLAR 1 Y CUARTO CALLEJON 23NE;GUAYAS;GUAYAQUIL;PASCUALES;NIVEL 1;CENTRO DE SALUD B;MSP;-79,90497027;-2,094167569;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);29
LAS ORQUIDEAS;AV. FRANCISCO DE ORELLANA SOLAR 44 Y 2 PEATONAL 8;GUAYAS;GUAYAQUIL;PASCUALES;NIVEL 1;CENTRO DE SALUD B;MSP;-79,91594597;-2,084568851;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);32
FRANCISCO DE ORELLANA;SOLAR 10 MZ 311 Y SN;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD B;MSP;-79,906178;-2,116383;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);43
JUAN MONTALVO;COOP. JUAN MONTALVO AV. 37 SOLAR 1 MZ 1763 SETECIENTOS METROS MERCADO MUNICIPAL SAN JACINTO;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;MSP;-79,91884521;-2,117795251;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);44
MATERNO MARTHA DE ROLDOS - 24 HD;MARTHA DE ROLDOS NUMERO: SOLAR 7 MZ 514 DIAGONAL A FATMACIA CRUZ AZUL;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD C;MSP;-79,92279857;-2,145248749;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);34
MAPASINGUE ESTE;COOP. VEINTICUATRO DE OCTUBRE BARRIO: MAPASINGUE ESTE NUMERO: SOLAR 7 MZ 49 A UNA CUADRA DE CANCHA FUTBOL INDOR;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;MSP;-79,92009382;-2,15183495;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);32
JUSTICIA SOCIAL;COOP. JUSTICIA SOCIAL - SOLAR 8 MZ 204- A VEINTE METROS DE DE IGLESIA CRISTIANA SOLO DIOS HACE AL HOMBRE FELIZ;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;MSP;-79,91505156;-2,155218271;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);27
ESTRELLA DE BELEN;COOP. UNION CIVICA DOS NUMERO: SOLAR 1 MZ 1902 - A CIEN METROS DE ESTACIÓN DE LA LINEA OCHENTA Y CUATRO;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;MSP;-79,91085354;-2,117386709;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);42
FICOA DE MONTALVO;COOP. FICOA DE MONTALVO NUMERO: SOLAR 1 MZ 2167 JUNTO A CANCHA DE FUTBOL;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;MSP;-79,92438045;-2,122665651;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);29
LUCHADORES DEL NORTE;COOP. LUCHADORES DEL NORTE NUMERO: SOLAR 5 MZ 1961 FRENTE A CANCHAS DEPORTIVAS;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;MSP;-79,9205926;-2,128829934;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);39
CENTRO DE SALUD N. 7;MAPASINGUE OESTE CALLE: AV. QUINTA NUMERO: 301 INTERSECCION: CALLE 2DA-3ERA JUNTO AL PARQUE;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD B;MSP;-79,93455493;-2,157853471;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);30
9 DE ENERO;COOP. NUEVE DE ENERO SOLAR 2 MZ 1172 JUNTO TIENDA MAGALY;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;MSP;-79,9385526;-2,152545586;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);26
29 DE ABRIL;COOP. VEINTINUEVE DE ABRIL SOLAR 11 MZ 1323 DIAGONAL ESTACIÓN DE BUSES DE LA COOPERATIVA 0CP;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;MSP;-79,94142675;-2,146075204;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);25
12 DE OCTUBRE;COOP. DOCE DE OCTUBRE BARRIO: MAPASINGUE OESTE NUMERO: SOLAR 1 MZ 1367 A CINCUENTA METROS DE CASA HOGAR SAGRADA FAMILIA;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;MSP;-79,94005488;-2,14850341;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);33
24 DE OCTUBRE;CIUDADELA: QUISQUIS SOLAR 02 MZ 72 A DOS CUADRAS ALMACENES TIA;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;MSP;-79,9209769;-2,15746293;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);34
CENTRO DE SALUD CHONGóN;AV. PAQUISHA SOLAR 1 Y CALLE 1ERA;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;MSP;-80,08065778;-2,233164592;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);36
CERECITA;AV PRINCIPAL SOLAR 1 Y KM 51 VIA A LA COSTA;GUAYAS;GUAYAQUIL;JUAN GOMEZ RENDON (PROGRESO);NIVEL 1;CENTRO DE SALUD A;MSP;-80,27104783;-2,33508335;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);30
CONSUELO;KM 40 VIA A LA COSTA SOLAR 2 Y CONSUELO;GUAYAS;GUAYAQUIL;GUAYAQUIL;NIVEL 1;CENTRO DE SALUD A;MSP;-80,18882441;-2,284027903;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);28
CENTRO DE SALUD PUERTO HONDO;PRINCIPAL SOLAR 1 Y CALLE 4TA;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;MSP;-80,02673261;-2,189868031;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);25
EL CERRO;COOP. EL CERRO NUMERO: SOLAR 4- MZ 75 DETRÁS DEL COLEGIO REPLICA AGUIRRE ABAD;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;MSP;-79,92852313;-2,151940103;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);29
MATERNO INFANTIL FRANCISCO JACOME [24H];MANZANA 259 SOLAR 25 Y SECTOR B;GUAYAS;GUAYAQUIL;AYACUCHO;NIVEL 1;CENTRO DE SALUD C;MSP;-79,9431335;-2,128529043;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);28
GALLEGOS LARA;GALLEGOS LARA SOLAR 1 MZ 1098;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;MSP;-79,94143993;-2,133830781;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);28
FLOR DEL BASTION 1;14 PASAJE Y 5TO CALLEJON;GUAYAS;GUAYAQUIL;PASCUALES;NIVEL 1;CENTRO DE SALUD A;MSP;-79,96505413;-2,08959378;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);31
EL FORTIN;10MO PASAJE Y CALLE 23;GUAYAS;GUAYAQUIL;PASCUALES;NIVEL 1;CENTRO DE SALUD A;MSP;-79,95387875;-2,111792112;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);30
PROSPERINA;PROSPERINA AV. CUARTA 512 INTERSECCIÓN CALLES 5TA - 6TA DIAGONAL MERCADO MUNICIPAL;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;MSP;-79,93999854;-2,141592025;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);37
MATERNO INFANTIL BASTION POPULAR [24H];AVENIDA PRINCIPAL Y CERRO LOS COLORADOS;GUAYAS;GUAYAQUIL;PASCUALES;NIVEL 1;CENTRO DE SALUD C;MSP;-79,92740821;-2,103991597;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);41
PASCUALES;AV 11 AVA SOLAR 5 Y AV PRINCIPAL;GUAYAS;GUAYAQUIL;PASCUALES;NIVEL 1;CENTRO DE SALUD B;MSP;-79,92705655;-2,066749805;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);44
BASTION POPULAR 1;TERCER PASAJE SOLAR 1 Y CUARTO PASAJE 25E NO;GUAYAS;GUAYAQUIL;PASCUALES;NIVEL 1;CENTRO DE SALUD B;MSP;-79,9328128;-2,085177451;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);44
BASTION POPULAR 3;VIA PERIMETRAL SOLAR 1 Y 12 PASEO 25 A;GUAYAS;GUAYAQUIL;PASCUALES;NIVEL 1;CENTRO DE SALUD B;MSP;-79,92689222;-2,079417319;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);34
SAN RAFAEL;SN 00 Y SN;GUAYAS;GUAYAQUIL;TENGUEL;NIVEL 1;CENTRO DE SALUD A;MSP;-79,77217145;-2,970574154;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);34
PROGRESO;AV. PRINCIPAL SOLAR 1 Y CALLE PRIMERA;GUAYAS;GUAYAQUIL;JUAN GOMEZ RENDON (PROGRESO);NIVEL 1;CENTRO DE SALUD A;MSP;-80,3648465;-2,410728728;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);30
PUERTO DEL MORRO;PRINCIPAL SOLAR 1 Y VIA A PUERTO EL MORRO;GUAYAS;GUAYAQUIL;MORRO;NIVEL 1;CENTRO DE SALUD A;MSP;-80,30376102;-2,61073423;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);35
POCITOS;AV PRINCIPAL SOLAR 1 Y CALLE PRINCIPAL;GUAYAS;GUAYAQUIL;MORRO;NIVEL 1;PUESTO DE SALUD;MSP;-80,35174236;-2,593372559;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);25
PUNA;ISLA PUNA;GUAYAS;GUAYAQUIL;PUNA;NIVEL 1;CENTRO DE SALUD A;MSP;-79,90850616;-2,739302196;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);32
PUERTO SALINAS;S/N REFERENCIA ISLA PUNA;GUAYAS;GUAYAQUIL;PUNA;NIVEL 1;PUESTO DE SALUD;MSP;-80,00510917;-2,579251631;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);40
CERRITO DE LOS MORREÑOS;S/N REFERENCIA ISLA PUNA;GUAYAS;GUAYAQUIL;PUNA;NIVEL 1;PUESTO DE SALUD;MSP;-79,90714591;-2,474019834;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);38
PUERTO LA CRUZ;S/N ISLA PUNA;GUAYAS;GUAYAQUIL;PUNA;NIVEL 1;PUESTO DE SALUD;MSP;-79,85778714;-2,600493752;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);25
PUERTO ROMA;S/N ISLA PUNA;GUAYAS;GUAYAQUIL;PUNA;NIVEL 1;PUESTO DE SALUD;MSP;-79,88293477;-2,514915332;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);34
HOSPITAL del niño  FRANCISCO DE ICAZA BUSTAMANTE;AV. QUITO S/N Y GOMEZ RENDON - CALICUCHIMA;GUAYAS;GUAYAQUIL;AYACUCHO;NIVEL 3;HOSPITAL ESPECIALIZADO EN PEDIATRIA;MSP;-79,89284775;-2,203362035;UCI, Especialidades Médicas, Cirugía Completa, Diagnóstico Avanzado, Oncología, Endocrinología, Trasplante de órganos;Público (Gratuito para afiliados MSP);528
HOSPITAL DE ESPECIALIDADES ABEL GILBERT PONTON;29 AVA. S/N Y GALAPAGOS - ORIENTE;GUAYAS;GUAYAQUIL;FEBRES CORDERO;NIVEL 3;HOSPITAL DE ESPECIALIDADES;MSP;-79,93062946;-2,212275743;UCI, Especialidades Médicas, Cirugía Completa, Diagnóstico Avanzado, Oncología, Endocrinología, Trasplante de órganos;Público (Gratuito para afiliados MSP);555
HOSPITAL DEL DIA MARIANA DE JESUS;27 AVA. S/N Y ROSENDO AVILES- CHAMBERS;GUAYAS;GUAYAQUIL;FEBRES CORDERO;NIVEL 2;HOSPITAL DEL DIA;MSP;-79,92632064;-2,208283241;Urgencias, Hospitalización, Cirugía Básica, Pediatría, Anestesiología, Ecografía, Rayos X;Público (Gratuito para afiliados MSP);97
HOSPITAL DE ESPECIALIDADES - TEODORO MALDONADO CARBO;AV. 25 DE JULIO;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 3;HOSPITAL DE ESPECIALIDADES;IESS;-79,89854274;-2,23138316;UCI, Especialidades Médicas, Cirugía Completa, Diagnóstico Avanzado, Oncología, Endocrinología, Trasplante de órganos;Público (Gratuito para afiliados IESS);272
CENTRO DE ESPECIALIDADES - LETAMENDI;LORENZO DE GARAYCOA 3029 Y LETAMENDI;GUAYAS;GUAYAQUIL;LETAMENDI;NIVEL 2;CENTRO DE ESPECIALIDADES;IESS;-79,9031;-2,202924;Urgencias, Hospitalización, Cirugía Básica, Pediatría, Anestesiología, Ecografía, Rayos X;Público (Gratuito para afiliados IESS);105
HOSPITAL GENERAL II-DE LIBERTAD;AV. PEDRO MENENDEZ GILBERT Y AV. DEMOCRACIA;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 2;HOSPITAL GENERAL;FUERZAS ARMADAS;-79,88548877;-2,178593212;Urgencias, Hospitalización, Cirugía Básica, Pediatría, Anestesiología, Ecografía, Rayos X;Público (Gratuito para afiliados FUERZAS ARMADAS);133
HOSPITAL NAVAL GUAYAQUIL;AVE. DE LA MARINA S/N;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 2;HOSPITAL GENERAL;FUERZAS ARMADAS;-79,90289249;-2,26904309;Urgencias, Hospitalización, Cirugía Básica, Pediatría, Anestesiología, Ecografía, Rayos X;Público (Gratuito para afiliados FUERZAS ARMADAS);145
HOSPITAL POLICIA NACIONAL GUAYAQUIL NO. 2;AV. 1RA S/N Y AV. DE LAS AMERICAS;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 3;HOSPITAL DE ESPECIALIDADES;POLICIA NACIONAL;-79,89224363;-2,175531803;UCI, Especialidades Médicas, Cirugía Completa, Diagnóstico Avanzado, Oncología, Endocrinología, Trasplante de órganos;Público (Gratuito para afiliados POLICIA NACIONAL);569
HOSPITAL UNIVERSITARIO;KM. 23 VIA PERIMETRAL S/N Y 0 CONTIGUO AL TERMINAL DE TRANSF. DE VIVERES;GUAYAS;GUAYAQUIL;PASCUALES;NIVEL 3;HOSPITAL ESPECIALIZADO EN GINECOLOGIA Y OBSTETRICIA;MSP;-79,94706531;-2,096286128;UCI, Especialidades Médicas, Cirugía Completa, Diagnóstico Avanzado, Oncología, Endocrinología, Trasplante de órganos;Público (Gratuito para afiliados MSP);340
DISPENSARIO CAUCHICHE;.;GUAYAS;GUAYAQUIL;PUNA;NIVEL 1;PUESTO DE SALUD;IESS;-80,23470291;-2,800935245;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados IESS);40
DISPENSARIO ESPERANZA DEL CARMEN;.;GUAYAS;GUAYAQUIL;TENGUEL;NIVEL 1;PUESTO DE SALUD;IESS;-79,74037049;-3,006405219;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados IESS);38
MONTE SINAI;Barrio: COOPERATIVA MARIA PAIDAL Calle: BALERIO ESTACIO Número: S/N Intersección: SN Código postal: 090807 Número de piso:0 Manzana: 11 Y 12;GUAYAS;GUAYAQUIL;GUAYAQUIL;NIVEL 1;CENTRO DE SALUD B;MSP;-79,99700691;-2,119367585;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);30
POSORJA;9 DE OCTUBRE SOLAR 9 Y SIMON YAQUE Y CASIQUE TOMALA;GUAYAS;GUAYAQUIL;POSORJA;NIVEL 1;CENTRO DE SALUD C;MSP;-80,24547704;-2,710712601;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);25
SITIO NUEVO;PRINCIPAL SOLAR 4 Y VIA A SAN ANTONIO;GUAYAS;GUAYAQUIL;MORRO;NIVEL 1;PUESTO DE SALUD;MSP;-80,32565413;-2,562745495;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);44
CAMPO ALEGRE;SIN DIRECCION;GUAYAS;GUAYAQUIL;PUNA;NIVEL 1;PUESTO DE SALUD;MSP;-80,13535331;-2,822546702;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);35
CENTRO DE SALUD TIPO A HUANCAVILCA;S/N;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;FUERZAS ARMADAS;-79,930735;-2,119725;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados FUERZAS ARMADAS);38
BASE NAVAL SAN EDUARDO;AV. BARCELONA S/N Y AV. VELASCO IBARRA.;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 2;CENTRO DE ESPECIALIDADES;FUERZAS ARMADAS;-79,919254;-2,180752;Urgencias, Hospitalización, Cirugía Básica, Pediatría, Anestesiología, Ecografía, Rayos X;Público (Gratuito para afiliados FUERZAS ARMADAS);105
ESCUELA DE INFANTERIA AEREA;AV. PEDRO MENENDEZ GILBERT SN Y PUENTE UNIDAD NACIONAL;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;FUERZAS ARMADAS;-79,87914;-2,15727;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados FUERZAS ARMADAS);42
ALA DE COMBATE NO. 22;AV. PEDRO MENENDEZ GILBERT S/N Y AV LUIS PLAZA DAÑIN;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 2;CENTRO DE ESPECIALIDADES;FUERZAS ARMADAS;-79,883721;-2,163747;Urgencias, Hospitalización, Cirugía Básica, Pediatría, Anestesiología, Ecografía, Rayos X;Público (Gratuito para afiliados FUERZAS ARMADAS);142
